"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"BU03631005","May2021","Total",8
"BU03631005","May2021","Violence",4
"BU03631005","Mrt2021","Environment",0
"BU03631005","Mrt2021","Inappropriateness",0
"BU03631005","Mrt2021","Other",0
"BU03631005","Mrt2021","Robbery/Theft",4
"BU03631005","Mrt2021","Smuggling",0
"BU03631005","Mrt2021","Total",7
"BU03631005","Mrt2021","Violence",3
"BU03631005","Nov2021","Environment",0
"BU03631005","Nov2021","Inappropriateness",0
"BU03631005","Nov2021","Other",0
"BU03631005","Nov2021","Robbery/Theft",2
"BU03631005","Nov2021","Smuggling",1
"BU03631005","Nov2021","Total",3
